t,time_label,scenario,online_count,p_ch_max_mw,p_dis_max_mw,p_net_min_mw,p_net_max_mw,energy_min_mwh,energy_max_mwh,departed_target_energy_mwh,feasibility_gap_mwh,is_feasible,initial_cumulative_energy_mwh,total_required_energy_mwh,dt_h,eta_ch,eta_dis,p_ch_max_kw_per_ev,p_dis_max_kw_per_ev,charge_need_kwh_per_ev
0,18:00-18:15,ordered,2350,23.5,0.0,-0.0,23.5,0.0,4.99375,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
1,18:15-18:30,ordered,2460,24.6,0.0,-0.0,24.6,0.0,10.22125,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
2,18:30-18:45,ordered,2554,25.54,0.0,-0.0,25.54,0.0,15.6485,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
3,18:45-19:00,ordered,2636,26.36,0.0,-0.0,26.36,0.0,21.25,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
4,19:00-19:15,ordered,2712,27.12,0.0,-0.0,27.12,0.0,27.013,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
5,19:15-19:30,ordered,2790,27.9,0.0,-0.0,27.9,0.0,32.94175,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
6,19:30-19:45,ordered,2874,28.74,0.0,-0.0,28.74,0.0,39.049,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
7,19:45-20:00,ordered,2968,29.68,0.0,-0.0,29.68,0.0,45.356,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
8,20:00-20:15,ordered,3068,30.68,0.0,-0.0,30.68,0.0,51.8755,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
9,20:15-20:30,ordered,3172,31.72,0.0,-0.0,31.72,0.0,58.616,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
10,20:30-20:45,ordered,3272,32.72,0.0,-0.0,32.72,0.0,65.569,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
11,20:45-21:00,ordered,3366,33.66,0.0,-0.0,33.66,0.0,71.54675,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
12,21:00-21:15,ordered,3452,34.52,0.0,-0.0,34.52,0.0,73.8335,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
13,21:15-21:30,ordered,3526,35.26,0.0,-0.0,35.26,0.0,76.05175,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
14,21:30-21:45,ordered,3592,35.92,0.0,-0.0,35.92,0.0,78.2165,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
15,21:45-22:00,ordered,3648,36.48,0.0,-0.0,36.48,0.0,80.329,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
16,22:00-22:15,ordered,3694,36.94,0.0,-0.0,36.94,0.0,82.37675,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
17,22:15-22:30,ordered,3734,37.34,0.0,-0.0,37.34,0.0,84.34075,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
18,22:30-22:45,ordered,3772,37.72,0.0,-0.0,37.72,0.0,86.202,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
19,22:45-23:00,ordered,3808,38.08,0.0,-0.0,38.08,0.0,87.937,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
20,23:00-23:15,ordered,3844,38.44,0.0,-0.0,38.44,0.0,89.534,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
21,23:15-23:30,ordered,3878,38.78,0.0,-0.0,38.78,0.0,90.98425,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
22,23:30-23:45,ordered,3912,39.12,0.0,-0.0,39.12,0.0,92.29725,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
23,23:45-00:00,ordered,3944,39.44,0.0,-0.0,39.44,0.0,93.4825,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
24,00:00-00:15,ordered,3972,39.72,0.0,-0.0,39.72,0.0,94.5505,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
25,00:15-00:30,ordered,3996,39.96,0.0,-0.0,39.96,0.0,95.51625,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
26,00:30-00:45,ordered,4012,40.12,0.0,-0.0,40.12,0.0,96.38075,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
27,00:45-01:00,ordered,4012,40.12,0.0,-0.0,40.12,0.0,97.13125,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
28,01:00-01:15,ordered,4012,40.12,0.0,-0.0,40.12,0.0,97.787,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
29,01:15-01:30,ordered,4012,40.12,0.0,-0.0,40.12,0.0,98.35875,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
30,01:30-01:45,ordered,4012,40.12,0.0,-0.0,40.12,0.0,98.85075,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
31,01:45-02:00,ordered,4012,40.12,0.0,-0.0,40.12,0.0585,99.26625,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
32,02:00-02:15,ordered,4012,40.12,0.0,-0.0,40.12,0.17725,99.60625,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
33,02:15-02:30,ordered,4012,40.12,0.0,-0.0,40.12,0.36425,99.874,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,0.0,25.0
