t,time_label,scenario,online_count,p_ch_max_mw,p_dis_max_mw,p_net_min_mw,p_net_max_mw,energy_min_mwh,energy_max_mwh,departed_target_energy_mwh,feasibility_gap_mwh,is_feasible,initial_cumulative_energy_mwh,total_required_energy_mwh,dt_h,eta_ch,eta_dis,p_ch_max_kw_per_ev,p_dis_max_kw_per_ev,charge_need_kwh_per_ev
0,18:00-18:15,v2g,2350,23.5,23.5,-23.5,23.5,-6.9117647058823515,4.99375,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
1,18:15-18:30,v2g,2460,24.6,24.6,-24.6,24.6,-12.073529411764707,10.22125,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
2,18:30-18:45,v2g,2554,25.54,25.54,-25.54,25.54,-12.576470588235294,15.6485,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
3,18:45-19:00,v2g,2636,26.36,26.36,-26.36,26.36,-13.011176470588234,21.25,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
4,19:00-19:15,v2g,2712,27.12,27.12,-27.12,27.12,-13.403529411764707,27.013,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
5,19:15-19:30,v2g,2790,27.9,27.9,-27.9,27.9,-13.78941176470588,32.94175,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
6,19:30-19:45,v2g,2874,28.74,28.74,-28.74,28.74,-14.197058823529412,39.049,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
7,19:45-20:00,v2g,2968,29.68,29.68,-29.68,29.68,-14.646470588235294,45.356,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
8,20:00-20:15,v2g,3068,30.68,30.68,-30.68,30.68,-15.134117647058824,51.8755,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
9,20:15-20:30,v2g,3172,31.72,31.72,-31.72,31.72,-15.645882352941177,58.616,0.0,0.0,True,0.0,100.3,0.25,0.85,0.85,10.0,10.0,25.0
