ev_id,arrival_period_raw,departure_period_raw,arrival_slot,departure_slot,departure_slot_exclusive,available_periods
1,1,44,0,42,43,43
2,1,44,0,42,43,43
3,1,44,0,42,43,43
4,1,44,0,42,43,43
5,1,44,0,42,43,43
6,1,44,0,42,43,43
7,1,44,0,42,43,43
8,1,44,0,42,43,43
9,1,44,0,42,43,43
10,1,44,0,42,43,43
11,1,44,0,42,43,43
12,1,44,0,42,43,43
13,1,44,0,42,43,43
14,1,44,0,42,43,43
15,1,44,0,42,43,43
16,1,44,0,42,43,43
17,1,44,0,42,43,43
18,1,44,0,42,43,43
19,1,44,0,42,43,43
20,1,44,0,42,43,43
21,1,44,0,42,43,43
22,1,44,0,42,43,43
23,1,44,0,42,43,43
24,1,44,0,42,43,43
25,1,44,0,42,43,43
26,1,44,0,42,43,43
27,1,44,0,42,43,43
28,1,44,0,42,43,43
29,1,44,0,42,43,43
30,1,44,0,42,43,43
31,1,44,0,42,43,43
32,1,44,0,42,43,43
33,1,44,0,42,43,43
34,1,44,0,42,43,43
35,1,44,0,42,43,43
36,1,44,0,42,43,43
37,1,45,0,43,44,44
38,1,45,0,43,44,44
39,1,45,0,43,44,44
40,1,45,0,43,44,44
41,1,45,0,43,44,44
42,1,45,0,43,44,44
43,1,45,0,43,44,44
44,1,45,0,43,44,44
45,1,45,0,43,44,44
46,1,45,0,43,44,44
47,1,45,0,43,44,44
48,1,45,0,43,44,44
49,1,45,0,43,44,44
50,1,45,0,43,44,44
51,1,45,0,43,44,44
52,1,45,0,43,44,44
53,1,45,0,43,44,44
54,1,45,0,43,44,44
55,1,45,0,43,44,44
56,1,45,0,43,44,44
57,1,45,0,43,44,44
58,1,45,0,43,44,44
59,1,45,0,43,44,44
60,1,45,0,43,44,44
61,1,45,0,43,44,44
62,1,45,0,43,44,44
63,1,46,0,44,45,45
64,1,46,0,44,45,45
65,1,46,0,44,45,45
66,1,46,0,44,45,45
67,1,46,0,44,45,45
68,1,46,0,44,45,45
69,1,46,0,44,45,45
70,1,46,0,44,45,45
71,1,46,0,44,45,45
72,1,46,0,44,45,45
73,1,46,0,44,45,45
74,1,46,0,44,45,45
75,1,46,0,44,45,45
76,1,46,0,44,45,45
77,1,46,0,44,45,45
78,1,46,0,44,45,45
79,1,46,0,44,45,45
80,1,46,0,44,45,45
81,1,46,0,44,45,45
82,1,46,0,44,45,45
83,1,46,0,44,45,45
84,1,46,0,44,45,45
85,1,46,0,44,45,45
86,1,46,0,44,45,45
87,1,46,0,44,45,45
88,1,46,0,44,45,45
89,1,46,0,44,45,45
90,1,46,0,44,45,45
91,1,46,0,44,45,45
92,1,46,0,44,45,45
93,1,46,0,44,45,45
94,1,46,0,44,45,45
95,1,46,0,44,45,45
96,1,46,0,44,45,45
97,1,47,0,45,46,46
98,1,47,0,45,46,46
99,1,47,0,45,46,46
100,1,47,0,45,46,46
101,1,47,0,45,46,46
102,1,47,0,45,46,46
103,1,47,0,45,46,46
104,1,47,0,45,46,46
105,1,47,0,45,46,46
106,1,47,0,45,46,46
107,1,47,0,45,46,46
108,1,47,0,45,46,46
109,1,47,0,45,46,46
110,1,47,0,45,46,46
111,1,47,0,45,46,46
112,1,47,0,45,46,46
113,1,47,0,45,46,46
114,1,47,0,45,46,46
115,1,47,0,45,46,46
116,1,47,0,45,46,46
117,1,47,0,45,46,46
118,1,47,0,45,46,46
119,1,47,0,45,46,46
120,1,47,0,45,46,46
121,1,47,0,45,46,46
122,1,47,0,45,46,46
123,1,47,0,45,46,46
124,1,47,0,45,46,46
125,1,47,0,45,46,46
126,1,47,0,45,46,46
127,1,47,0,45,46,46
128,1,47,0,45,46,46
129,1,47,0,45,46,46
130,1,47,0,45,46,46
131,1,47,0,45,46,46
132,1,47,0,45,46,46
133,1,47,0,45,46,46
134,1,47,0,45,46,46
135,1,47,0,45,46,46
136,1,47,0,45,46,46
137,1,48,0,46,47,47
138,1,48,0,46,47,47
139,1,48,0,46,47,47
140,1,48,0,46,47,47
141,1,48,0,46,47,47
142,1,48,0,46,47,47
143,1,48,0,46,47,47
144,1,48,0,46,47,47
145,1,48,0,46,47,47
146,1,48,0,46,47,47
147,1,48,0,46,47,47
148,1,48,0,46,47,47
149,1,48,0,46,47,47
150,1,48,0,46,47,47
151,1,48,0,46,47,47
152,1,48,0,46,47,47
153,1,48,0,46,47,47
154,1,48,0,46,47,47
155,1,48,0,46,47,47
156,1,48,0,46,47,47
157,1,48,0,46,47,47
158,1,48,0,46,47,47
159,1,48,0,46,47,47
160,1,48,0,46,47,47
161,1,48,0,46,47,47
162,1,48,0,46,47,47
163,1,48,0,46,47,47
164,1,48,0,46,47,47
165,1,48,0,46,47,47
166,1,48,0,46,47,47
167,1,48,0,46,47,47
168,1,48,0,46,47,47
169,1,48,0,46,47,47
170,1,48,0,46,47,47
171,1,48,0,46,47,47
172,1,48,0,46,47,47
173,1,48,0,46,47,47
174,1,48,0,46,47,47
175,1,48,0,46,47,47
176,1,48,0,46,47,47
177,1,48,0,46,47,47
178,1,48,0,46,47,47
179,1,48,0,46,47,47
180,1,48,0,46,47,47
181,1,48,0,46,47,47
182,1,48,0,46,47,47
183,1,48,0,46,47,47
184,1,48,0,46,47,47
185,1,49,0,47,48,48
186,1,49,0,47,48,48
187,1,49,0,47,48,48
188,1,49,0,47,48,48
189,1,49,0,47,48,48
190,1,49,0,47,48,48
191,1,49,0,47,48,48
192,1,49,0,47,48,48
193,1,49,0,47,48,48
194,1,49,0,47,48,48
195,1,49,0,47,48,48
196,1,49,0,47,48,48
197,1,49,0,47,48,48
198,1,49,0,47,48,48
199,1,49,0,47,48,48
200,1,49,0,47,48,48
201,1,49,0,47,48,48
202,1,49,0,47,48,48
203,1,49,0,47,48,48
204,1,49,0,47,48,48
205,1,49,0,47,48,48
206,1,49,0,47,48,48
207,1,49,0,47,48,48
208,1,49,0,47,48,48
209,1,49,0,47,48,48
210,1,49,0,47,48,48
211,1,49,0,47,48,48
212,1,49,0,47,48,48
213,1,49,0,47,48,48
214,1,49,0,47,48,48
215,1,49,0,47,48,48
216,1,49,0,47,48,48
217,1,49,0,47,48,48
218,1,49,0,47,48,48
219,1,49,0,47,48,48
220,1,49,0,47,48,48
221,1,49,0,47,48,48
222,1,49,0,47,48,48
223,1,49,0,47,48,48
224,1,49,0,47,48,48
225,1,49,0,47,48,48
226,1,49,0,47,48,48
227,1,49,0,47,48,48
228,1,49,0,47,48,48
229,1,49,0,47,48,48
230,1,49,0,47,48,48
231,1,49,0,47,48,48
232,1,49,0,47,48,48
233,1,49,0,47,48,48
234,1,49,0,47,48,48
235,1,49,0,47,48,48
236,1,49,0,47,48,48
237,1,49,0,47,48,48
238,1,49,0,47,48,48
239,1,50,0,48,49,49
240,1,50,0,48,49,49
241,1,50,0,48,49,49
242,1,50,0,48,49,49
243,1,50,0,48,49,49
244,1,50,0,48,49,49
245,1,50,0,48,49,49
246,1,50,0,48,49,49
247,1,50,0,48,49,49
248,1,50,0,48,49,49
249,1,50,0,48,49,49
250,1,50,0,48,49,49
251,1,50,0,48,49,49
252,1,50,0,48,49,49
253,1,50,0,48,49,49
254,1,50,0,48,49,49
255,1,50,0,48,49,49
256,1,50,0,48,49,49
257,1,50,0,48,49,49
258,1,50,0,48,49,49
259,1,50,0,48,49,49
260,1,50,0,48,49,49
261,1,50,0,48,49,49
262,1,50,0,48,49,49
263,1,50,0,48,49,49
264,1,50,0,48,49,49
265,1,50,0,48,49,49
266,1,50,0,48,49,49
267,1,50,0,48,49,49
268,1,50,0,48,49,49
269,1,50,0,48,49,49
270,1,50,0,48,49,49
271,1,50,0,48,49,49
272,1,50,0,48,49,49
273,1,50,0,48,49,49
274,1,50,0,48,49,49
275,1,50,0,48,49,49
276,1,50,0,48,49,49
277,1,50,0,48,49,49
278,1,50,0,48,49,49
279,1,50,0,48,49,49
280,1,50,0,48,49,49
281,1,50,0,48,49,49
282,1,50,0,48,49,49
283,1,50,0,48,49,49
284,1,50,0,48,49,49
285,1,50,0,48,49,49
286,1,50,0,48,49,49
287,1,50,0,48,49,49
288,1,50,0,48,49,49
289,1,50,0,48,49,49
290,1,50,0,48,49,49
291,1,50,0,48,49,49
292,1,50,0,48,49,49
293,1,50,0,48,49,49
294,1,50,0,48,49,49
295,1,50,0,48,49,49
296,1,50,0,48,49,49
297,1,50,0,48,49,49
298,1,50,0,48,49,49
299,1,50,0,48,49,49
300,1,50,0,48,49,49
301,1,50,0,48,49,49
302,1,50,0,48,49,49
303,1,51,0,49,50,50
304,1,51,0,49,50,50
305,1,51,0,49,50,50
306,1,51,0,49,50,50
307,1,51,0,49,50,50
308,1,51,0,49,50,50
309,1,51,0,49,50,50
310,1,51,0,49,50,50
311,1,51,0,49,50,50
312,1,51,0,49,50,50
313,1,51,0,49,50,50
314,1,51,0,49,50,50
315,1,51,0,49,50,50
316,1,51,0,49,50,50
317,1,51,0,49,50,50
318,1,51,0,49,50,50
319,1,51,0,49,50,50
320,1,51,0,49,50,50
321,1,51,0,49,50,50
322,1,51,0,49,50,50
323,1,51,0,49,50,50
324,1,51,0,49,50,50
325,1,51,0,49,50,50
326,1,51,0,49,50,50
327,1,51,0,49,50,50
328,1,51,0,49,50,50
329,1,51,0,49,50,50
330,1,51,0,49,50,50
331,1,51,0,49,50,50
332,1,51,0,49,50,50
333,1,51,0,49,50,50
334,1,51,0,49,50,50
335,1,51,0,49,50,50
336,1,51,0,49,50,50
337,1,51,0,49,50,50
338,1,51,0,49,50,50
339,1,51,0,49,50,50
340,1,51,0,49,50,50
341,1,51,0,49,50,50
342,1,51,0,49,50,50
343,1,51,0,49,50,50
344,1,51,0,49,50,50
345,1,51,0,49,50,50
346,1,51,0,49,50,50
347,1,51,0,49,50,50
348,1,51,0,49,50,50
349,1,51,0,49,50,50
350,1,51,0,49,50,50
351,1,51,0,49,50,50
352,1,51,0,49,50,50
353,1,51,0,49,50,50
354,1,51,0,49,50,50
355,1,51,0,49,50,50
356,1,51,0,49,50,50
357,1,51,0,49,50,50
358,1,51,0,49,50,50
359,1,51,0,49,50,50
360,1,51,0,49,50,50
361,1,51,0,49,50,50
362,1,51,0,49,50,50
363,1,51,0,49,50,50
364,1,51,0,49,50,50
365,1,51,0,49,50,50
