t,online_count,p_ch_max_unordered_mw,p_ch_max_ordered_mw,p_dis_max_v2g_mw
0,2350,23.5,23.5,23.5
1,2460,24.6,24.6,24.6
2,2554,25.54,25.54,25.54
3,2636,26.36,26.36,26.36
4,2712,27.12,27.12,27.12
5,2790,27.9,27.9,27.9
6,2874,28.74,28.74,28.74
7,2968,29.68,29.68,29.68
8,3068,30.68,30.68,30.68
9,3172,31.72,31.72,31.72
10,3272,32.72,32.72,32.72
11,3366,33.66,33.66,33.66
12,3452,34.52,34.52,34.52
13,3526,35.26,35.26,35.26
14,3592,35.92,35.92,35.92
15,3648,36.48,36.48,36.48
16,3694,36.94,36.94,36.94
17,3734,37.34,37.34,37.34
18,3772,37.72,37.72,37.72
19,3808,38.08,38.08,38.08
20,3844,38.44,38.44,38.44
21,3878,38.78,38.78,38.78
22,3912,39.12,39.12,39.12
23,3944,39.44,39.44,39.44
24,3972,39.72,39.72,39.72
25,3996,39.96,39.96,39.96
26,4012,40.12,40.12,40.12
27,4012,40.12,40.12,40.12
28,4012,40.12,40.12,40.12
29,4012,40.12,40.12,40.12
30,4012,40.12,40.12,40.12
31,4012,40.12,40.12,40.12
32,4012,40.12,40.12,40.12
33,4012,40.12,40.12,40.12
34,4012,40.12,40.12,40.12
35,4012,40.12,40.12,40.12
36,4012,40.12,40.12,40.12
37,4012,40.12,40.12,40.12
38,4012,40.12,40.12,40.12
39,4012,40.12,40.12,40.12
40,4012,40.12,40.12,40.12
41,4012,40.12,40.12,40.12
42,4012,40.12,40.12,40.12
43,3976,39.76,39.76,39.76
44,3950,39.5,39.5,39.5
45,3916,39.16,39.16,39.16
46,3876,38.76,38.76,38.76
47,3828,38.28,38.28,38.28
48,3774,37.74,37.74,37.74
49,3710,37.1,37.1,37.1
50,3630,36.3,36.3,36.3
51,3534,35.34,35.34,35.34
52,3414,34.14,34.14,34.14
53,3266,32.66,32.66,32.66
54,3086,30.86,30.86,30.86
55,2870,28.7,28.7,28.7
