t,time_label,start_minute,end_minute,dt_h
0,18:00-18:15,1080,1095,0.25
1,18:15-18:30,1095,1110,0.25
2,18:30-18:45,1110,1125,0.25
3,18:45-19:00,1125,1140,0.25
4,19:00-19:15,1140,1155,0.25
5,19:15-19:30,1155,1170,0.25
6,19:30-19:45,1170,1185,0.25
7,19:45-20:00,1185,1200,0.25
8,20:00-20:15,1200,1215,0.25
9,20:15-20:30,1215,1230,0.25
10,20:30-20:45,1230,1245,0.25
11,20:45-21:00,1245,1260,0.25
12,21:00-21:15,1260,1275,0.25
13,21:15-21:30,1275,1290,0.25
14,21:30-21:45,1290,1305,0.25
15,21:45-22:00,1305,1320,0.25
16,22:00-22:15,1320,1335,0.25
17,22:15-22:30,1335,1350,0.25
18,22:30-22:45,1350,1365,0.25
19,22:45-23:00,1365,1380,0.25
20,23:00-23:15,1380,1395,0.25
21,23:15-23:30,1395,1410,0.25
22,23:30-23:45,1410,1425,0.25
23,23:45-00:00,1425,0,0.25
24,00:00-00:15,0,15,0.25
25,00:15-00:30,15,30,0.25
26,00:30-00:45,30,45,0.25
27,00:45-01:00,45,60,0.25
28,01:00-01:15,60,75,0.25
29,01:15-01:30,75,90,0.25
30,01:30-01:45,90,105,0.25
31,01:45-02:00,105,120,0.25
32,02:00-02:15,120,135,0.25
33,02:15-02:30,135,150,0.25
34,02:30-02:45,150,165,0.25
35,02:45-03:00,165,180,0.25
36,03:00-03:15,180,195,0.25
37,03:15-03:30,195,210,0.25
38,03:30-03:45,210,225,0.25
39,03:45-04:00,225,240,0.25
40,04:00-04:15,240,255,0.25
41,04:15-04:30,255,270,0.25
42,04:30-04:45,270,285,0.25
43,04:45-05:00,285,300,0.25
44,05:00-05:15,300,315,0.25
45,05:15-05:30,315,330,0.25
46,05:30-05:45,330,345,0.25
47,05:45-06:00,345,360,0.25
48,06:00-06:15,360,375,0.25
49,06:15-06:30,375,390,0.25
50,06:30-06:45,390,405,0.25
51,06:45-07:00,405,420,0.25
52,07:00-07:15,420,435,0.25
53,07:15-07:30,435,450,0.25
54,07:30-07:45,450,465,0.25
55,07:45-08:00,465,480,0.25
