t_day,time_label,start_minute,end_minute,dt_h
0,00:00-00:15,0,15,0.25
1,00:15-00:30,15,30,0.25
2,00:30-00:45,30,45,0.25
3,00:45-01:00,45,60,0.25
4,01:00-01:15,60,75,0.25
5,01:15-01:30,75,90,0.25
6,01:30-01:45,90,105,0.25
7,01:45-02:00,105,120,0.25
8,02:00-02:15,120,135,0.25
9,02:15-02:30,135,150,0.25
10,02:30-02:45,150,165,0.25
11,02:45-03:00,165,180,0.25
12,03:00-03:15,180,195,0.25
13,03:15-03:30,195,210,0.25
14,03:30-03:45,210,225,0.25
15,03:45-04:00,225,240,0.25
16,04:00-04:15,240,255,0.25
17,04:15-04:30,255,270,0.25
18,04:30-04:45,270,285,0.25
19,04:45-05:00,285,300,0.25
20,05:00-05:15,300,315,0.25
21,05:15-05:30,315,330,0.25
22,05:30-05:45,330,345,0.25
23,05:45-06:00,345,360,0.25
24,06:00-06:15,360,375,0.25
25,06:15-06:30,375,390,0.25
26,06:30-06:45,390,405,0.25
27,06:45-07:00,405,420,0.25
28,07:00-07:15,420,435,0.25
29,07:15-07:30,435,450,0.25
30,07:30-07:45,450,465,0.25
31,07:45-08:00,465,480,0.25
32,08:00-08:15,480,495,0.25
33,08:15-08:30,495,510,0.25
34,08:30-08:45,510,525,0.25
35,08:45-09:00,525,540,0.25
36,09:00-09:15,540,555,0.25
37,09:15-09:30,555,570,0.25
38,09:30-09:45,570,585,0.25
39,09:45-10:00,585,600,0.25
40,10:00-10:15,600,615,0.25
41,10:15-10:30,615,630,0.25
42,10:30-10:45,630,645,0.25
43,10:45-11:00,645,660,0.25
44,11:00-11:15,660,675,0.25
45,11:15-11:30,675,690,0.25
46,11:30-11:45,690,705,0.25
47,11:45-12:00,705,720,0.25
48,12:00-12:15,720,735,0.25
49,12:15-12:30,735,750,0.25
50,12:30-12:45,750,765,0.25
51,12:45-13:00,765,780,0.25
52,13:00-13:15,780,795,0.25
53,13:15-13:30,795,810,0.25
54,13:30-13:45,810,825,0.25
55,13:45-14:00,825,840,0.25
56,14:00-14:15,840,855,0.25
57,14:15-14:30,855,870,0.25
58,14:30-14:45,870,885,0.25
59,14:45-15:00,885,900,0.25
60,15:00-15:15,900,915,0.25
61,15:15-15:30,915,930,0.25
62,15:30-15:45,930,945,0.25
63,15:45-16:00,945,960,0.25
64,16:00-16:15,960,975,0.25
65,16:15-16:30,975,990,0.25
66,16:30-16:45,990,1005,0.25
67,16:45-17:00,1005,1020,0.25
68,17:00-17:15,1020,1035,0.25
69,17:15-17:30,1035,1050,0.25
70,17:30-17:45,1050,1065,0.25
71,17:45-18:00,1065,1080,0.25
72,18:00-18:15,1080,1095,0.25
73,18:15-18:30,1095,1110,0.25
74,18:30-18:45,1110,1125,0.25
75,18:45-19:00,1125,1140,0.25
76,19:00-19:15,1140,1155,0.25
77,19:15-19:30,1155,1170,0.25
78,19:30-19:45,1170,1185,0.25
79,19:45-20:00,1185,1200,0.25
80,20:00-20:15,1200,1215,0.25
81,20:15-20:30,1215,1230,0.25
82,20:30-20:45,1230,1245,0.25
83,20:45-21:00,1245,1260,0.25
84,21:00-21:15,1260,1275,0.25
85,21:15-21:30,1275,1290,0.25
86,21:30-21:45,1290,1305,0.25
87,21:45-22:00,1305,1320,0.25
88,22:00-22:15,1320,1335,0.25
89,22:15-22:30,1335,1350,0.25
90,22:30-22:45,1350,1365,0.25
91,22:45-23:00,1365,1380,0.25
92,23:00-23:15,1380,1395,0.25
93,23:15-23:30,1395,1410,0.25
94,23:30-23:45,1410,1425,0.25
95,23:45-00:00,1425,0,0.25
