t,time_label,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_count_charging,charged_energy_mwh,unserved_energy_mwh
0,18:00-18:15,23.5,0.0,23.5,2350,4.9937499999999995,0.0
1,18:15-18:30,24.6,0.0,24.6,2460,5.2275,0.0
2,18:30-18:45,25.54,0.0,25.54,2554,5.42725,0.0
3,18:45-19:00,26.36,0.0,26.36,2636,5.6015,0.0
4,19:00-19:15,27.12,0.0,27.12,2712,5.763,0.0
5,19:15-19:30,27.9,0.0,27.9,2790,5.92875,0.0
6,19:30-19:45,28.74,0.0,28.74,2874,6.10725,0.0
7,19:45-20:00,29.68,0.0,29.68,2968,6.3069999999999995,0.0
8,20:00-20:15,30.68,0.0,30.68,3068,6.5195,0.0
9,20:15-20:30,31.72,0.0,31.72,3172,6.7405,0.0
10,20:30-20:45,32.72,0.0,32.72,3272,6.952999999999999,0.0
11,20:45-21:00,28.130588235294297,0.0,28.130588235294297,3366,5.977750000000038,0.0
12,21:00-21:15,10.761176470588234,0.0,10.761176470588234,1102,2.2867499999999996,0.0
13,21:15-21:30,10.438823529411764,0.0,10.438823529411764,1066,2.21825,0.0
14,21:30-21:45,10.18705882352941,0.0,10.18705882352941,1038,2.1647499999999997,0.0
15,21:45-22:00,9.941176470588234,0.0,9.941176470588234,1012,2.1125,0.0
16,22:00-22:15,9.636470588235294,0.0,9.636470588235294,982,2.04775,0.0
17,22:15-22:30,9.24235294117647,0.0,9.24235294117647,944,1.964,0.0
18,22:30-22:45,8.758823529411764,0.0,8.758823529411764,898,1.8612499999999998,0.0
19,22:45-23:00,8.16470588235294,0.0,8.16470588235294,840,1.7349999999999999,0.0
20,23:00-23:15,7.515294117647057,0.0,7.515294117647057,776,1.5969999999999998,0.0
21,23:15-23:30,6.824705882352941,0.0,6.824705882352941,706,1.4502499999999998,0.0
22,23:30-23:45,6.178823529411764,0.0,6.178823529411764,640,1.3129999999999997,0.0
23,23:45-00:00,5.577647058823528,0.0,5.577647058823528,578,1.1852499999999997,0.0
24,00:00-00:15,5.025882352941176,0.0,5.025882352941176,520,1.0679999999999998,0.0
25,00:15-00:30,4.5447058823529405,0.0,4.5447058823529405,470,0.9657499999999998,0.0
26,00:30-00:45,4.068235294117647,0.0,4.068235294117647,420,0.8645,0.0
27,00:45-01:00,3.531764705882353,0.0,3.531764705882353,364,0.7505,0.0
28,01:00-01:15,3.0858823529411765,0.0,3.0858823529411765,318,0.6557499999999999,0.0
29,01:15-01:30,2.6905882352941175,0.0,2.6905882352941175,278,0.57175,0.0
30,01:30-01:45,2.315294117647059,0.0,2.315294117647059,240,0.492,0.0
31,01:45-02:00,1.955294117647059,0.0,1.955294117647059,204,0.41550000000000004,0.0
32,02:00-02:15,1.6,0.0,1.6,168,0.34,0.0
33,02:15-02:30,1.26,0.0,1.26,134,0.26775,0.0
34,02:30-02:45,0.9247058823529413,0.0,0.9247058823529413,100,0.1965,0.0
35,02:45-03:00,0.6141176470588237,0.0,0.6141176470588237,68,0.13050000000000003,0.0
36,03:00-03:15,0.3435294117647059,0.0,0.3435294117647059,40,0.07300000000000001,0.0
37,03:15-03:30,0.12235294117647055,0.0,0.12235294117647055,16,0.025999999999999992,0.0
38,03:30-03:45,0.0,0.0,0.0,0,0.0,0.0
39,03:45-04:00,0.0,0.0,0.0,0,0.0,0.0
40,04:00-04:15,0.0,0.0,0.0,0,0.0,0.0
41,04:15-04:30,0.0,0.0,0.0,0,0.0,0.0
42,04:30-04:45,0.0,0.0,0.0,0,0.0,0.0
43,04:45-05:00,0.0,0.0,0.0,0,0.0,0.0
44,05:00-05:15,0.0,0.0,0.0,0,0.0,0.0
45,05:15-05:30,0.0,0.0,0.0,0,0.0,0.0
46,05:30-05:45,0.0,0.0,0.0,0,0.0,0.0
47,05:45-06:00,0.0,0.0,0.0,0,0.0,0.0
48,06:00-06:15,0.0,0.0,0.0,0,0.0,0.0
49,06:15-06:30,0.0,0.0,0.0,0,0.0,0.0
50,06:30-06:45,0.0,0.0,0.0,0,0.0,0.0
51,06:45-07:00,0.0,0.0,0.0,0,0.0,0.0
52,07:00-07:15,0.0,0.0,0.0,0,0.0,0.0
53,07:15-07:30,0.0,0.0,0.0,0,0.0,0.0
54,07:30-07:45,0.0,0.0,0.0,0,0.0,0.0
55,07:45-08:00,0.0,0.0,0.0,0,0.0,0.0
