scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
ordered,0,18:00-18:15,-9.62314226113763e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.044917730491746e-09,0.0,2.044917730491746e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,1,18:15-18:30,-9.013513535884082e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9602893568671145e-09,0.0,3.9602893568671145e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,2,18:30-18:45,-8.197117240796445e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.702176770536358e-09,0.0,5.702176770536358e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,3,18:45-19:00,1.666974034363938e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1598569475129904e-09,0.0,2.1598569475129904e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,4,19:00-19:15,-8.596544085773696e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9866225657399004e-09,0.0,3.9866225657399004e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,5,19:15-19:30,-6.7058752347222675e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.411621053118382e-09,0.0,5.411621053118382e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,6,19:30-19:45,1.4708229937477589e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2861221914043947e-09,0.0,2.2861221914043947e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,7,19:45-20:00,-9.511743397231012e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.307367663315985e-09,0.0,4.307367663315985e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,8,20:00-20:15,-9.070041573019661e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.234751497582662e-09,0.0,6.234751497582662e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,9,20:15-20:30,2.0773593478546812e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8203628833914638e-09,0.0,1.8203628833914638e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
