scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
v2g,0,18:00-18:15,0.0,16.93408655928425,0.0,16.93408655928425,0.0,16.934086559283976,0.0,-2.7355895326763857e-13,2.7355895326763857e-13,-4.980613693907133,-4.98061369390705,8.260059303211165e-14,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,1,18:15-18:30,0.0,7.772285185776451,0.0,7.772285185776451,0.0,7.772285185776344,0.0,-1.0746958878371515e-13,1.0746958878371515e-13,-7.266579925017853,-7.266579925017739,1.1368683772161603e-13,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,2,18:30-18:45,0.0,5.207080834287284,0.0,5.207080834287284,0.0,5.207080834287329,0.0,4.529709940470639e-14,-4.529709940470639e-14,-8.798074288043525,-8.798074288043425,9.947598300641403e-14,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,3,18:45-19:00,0.0,2.302277417328612,0.0,2.302277417328612,0.0,2.3022774173285994,0.0,-1.2434497875801753e-14,1.2434497875801753e-14,-9.47521470490488,-9.475214704904777,1.0302869668521453e-13,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,4,19:00-19:15,0.0,3.462338429980676e-07,0.0,3.462338429980676e-07,0.0,3.462338429980676e-07,0.0,0.0,0.0,-9.475214806738364,-9.475214806738261,1.0302869668521453e-13,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,5,19:15-19:30,0.0,8.993338344652029e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.47521483318936,-9.475214806738261,2.6451099088831143e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,6,19:30-19:45,0.0,5.804445719969228e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214850261258,-9.475214806738261,4.3522996762135335e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,7,19:45-20:00,0.0,6.012606735729456e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214867945397,-9.475214806738261,6.120713536006406e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,8,20:00-20:15,0.0,2.1878720209245772e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214874380312,-9.475214806738261,6.764205018328084e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,9,20:15-20:30,0.0,1.0101913877465096e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214877351464,-9.475214806738261,7.06132023964301e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
