scenario,departure_shift_slots,departure_shift_minutes,infeasible_vehicle_count,total_shortfall_kwh,max_shortfall_kwh,total_surplus_kwh,is_feasible
ordered,-4,-60,1657,7106.783964545194,8.5,0.0,False
ordered,-2,-30,1555,4515.551499400684,4.25,0.0,False
ordered,-1,-15,1515,2829.801499400685,2.125,0.0,False
ordered,0,0,0,0.0,0.0,0.0,True
ordered,1,15,0,0.0,0.0,0.0,True
ordered,2,30,0,0.0,0.0,0.0,True
ordered,4,60,0,0.0,0.0,0.0,True
v2g,-4,-60,2080,14934.034740252479,8.5,11281.806770534222,False
v2g,-2,-30,1904,7621.821985808772,4.25,9277.92330613132,False
v2g,-1,-15,1840,3794.386309837869,2.125,5489.511541425471,False
v2g,0,0,0,0.0,0.0,1.659969939282746e-10,True
v2g,1,15,0,0.0,0.0,1.659969939282746e-10,True
v2g,2,30,0,0.0,0.0,1.659969939282746e-10,True
v2g,4,60,0,0.0,0.0,1.659969939282746e-10,True
