t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
0,18:00-18:15,ordered,1.0,115.60487646092399,77.52422626623526,68.40372905846417,115.60487646100327,377.13770824662674,7.862291743750171,-8.999982306079346e-07,-9.62314226113763e-09,0.0,-9.62314226113763e-09,-2.0449177304917465e-09,384.99999999037686,3679.6965476424175,8.420249478495428e-08,3679.69654772662
1,18:15-18:30,ordered,1.0,113.08191818529468,75.33766242732668,66.4744080241379,113.08191818535278,367.97590682211205,17.024093168874433,-8.999981631063747e-07,-9.013513535884082e-09,0.0,-9.013513535884082e-09,-3.960289356867114e-09,384.9999999909865,3627.742426370006,7.886824343898573e-08,3627.742426448874
2,18:30-18:45,ordered,1.0,112.37551741092571,74.7254484228791,65.93421919668206,112.37551741098345,365.41070244147033,14.589297550332605,-8.999982092916525e-07,-8.197117240796445e-09,0.0,-8.197117240796445e-09,-5.702176770536358e-09,379.9999999918029,3613.222762479714,7.17247758569689e-08,3613.222762551439
3,18:45-19:00,ordered,1.0,111.57559852445436,74.03218538793465,65.32251651879015,111.57559852450912,362.5058989556883,12.494101060981489,-8.999982163970799e-07,1.666974034363938e-08,0.0,1.666974034363938e-08,-2.15985694751299e-09,375.00000001666973,3596.7951078613264,-1.458602280068446e-07,3596.795107715466
4,19:00-19:15,ordered,1.0,110.69603609623574,73.26989795014127,64.64990995603179,110.69603609628669,359.3118800986955,10.68811989270796,-8.99998203962582e-07,-8.596544085773696e-09,0.0,-8.596544085773696e-09,-3.9866225657399004e-09,369.99999999140346,3578.7492756183456,7.521976075051984e-08,3578.7492756935653
5,19:15-19:30,ordered,1.0,110.06623167482594,72.72406745158456,64.16829481024668,110.06623167487471,357.02482561153187,10.97517438176223,-8.999982501478598e-07,-6.705875234722267e-09,0.0,-6.705875234722267e-09,-5.411621053118382e-09,367.9999999932941,3565.8389047937644,5.867640830381984e-08,3565.838904852441
6,19:30-19:45,ordered,1.0,109.65599095460581,72.36852549405867,63.854581318312185,109.65599095465294,355.53508872162956,12.464911293078595,-8.99998193304441e-07,1.4708229937477589e-08,0.0,1.4708229937477589e-08,-2.2861221914043947e-09,368.00000001470823,3557.4344092918773,-1.2869701195292892e-07,3557.43440916318
7,19:45-20:00,ordered,1.0,109.69415280773379,72.4015991001111,63.88376391188592,109.6941528077841,355.6736686275149,14.32633136297337,-8.999982163970799e-07,-9.511743397231013e-09,0.0,-9.511743397231013e-09,-4.307367663315985e-09,369.9999999904883,3558.2160537255327,8.322775472577137e-08,3558.2160538087605
8,20:00-20:15,ordered,1.0,108.19749260484612,71.10449359093272,62.73925905084806,108.19749260488982,350.2387378515167,17.761262139413255,-8.999982092916525e-07,-9.07004157301966e-09,0.0,-9.07004157301966e-09,-6.234751497582662e-09,367.99999999092995,3527.5866977959704,7.936286376392203e-08,3527.5866978753334
9,20:15-20:30,ordered,1.0,106.58984259961031,69.71119691972117,61.50987963507472,106.58984259964852,344.4007617540547,21.599238266718896,-8.999982057389389e-07,2.0773593478546815e-08,0.0,2.0773593478546815e-08,-1.8203628833914638e-09,366.0000000207736,3494.744819756601,-1.8176894293728464e-07,3494.744819574832
