t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
0,18:00-18:15,unordered,1.0,122.07625875293274,83.13275758604492,73.35243316417896,122.07625875309323,400.6377082562498,7.862291743750134,-8.999981941926194e-07,23.5,0.0,23.5,408.5,3813.645694399244,-205.62500000000003,3608.020694399244
1,18:15-18:30,unordered,1.0,119.85621624389294,81.20872074482537,71.65475359840092,119.85621624400633,392.5759068311256,17.02409316887443,-8.99998159553661e-07,24.6,0.0,24.6,409.6,3767.58233026887,-215.25000000000003,3552.33233026887
2,18:30-18:45,unordered,1.0,119.40867076087785,80.82084799288174,71.31251293491943,119.40867076098841,390.9507024496674,14.589297550332603,-8.999982075152957e-07,25.54,0.0,25.54,405.54,3758.3103590654937,-223.475,3534.835359065494
3,18:45-19:00,unordered,1.0,118.83456180276683,80.3232868958462,70.87348843753507,118.83456180287044,388.8658989390185,12.494101060981507,-8.999982341606483e-07,26.36,0.0,26.36,401.36,3746.42324620195,-230.65000000000003,3515.77324620195
4,19:00-19:15,unordered,1.0,118.16428663852857,79.74238175349862,70.36092507664063,118.16428663862425,386.43188010729205,10.68811989270796,-8.99998203962582e-07,27.12,0.0,27.12,397.12,3732.554824512955,-237.30000000000004,3495.2548245129547
5,19:15-19:30,unordered,1.0,117.74927703301422,79.3827067620497,70.04356479006782,117.749277033106,384.9248256182378,10.975174381762272,-8.99998292780424e-07,27.9,0.0,27.9,395.9,3723.9733260838684,-244.125,3479.8483260838684
6,19:30-19:45,unordered,1.0,117.570353801498,79.22763996139975,69.90674114243589,117.57035380158773,384.2750887069214,12.464911293078629,-8.999982270552209e-07,28.74,0.0,28.74,396.74,3720.2748359404977,-251.475,3468.799835940498
7,19:45-20:00,unordered,1.0,117.8673709528703,79.48505482593305,70.13387190525737,117.86737095296596,385.35366863702666,14.32633136297332,-8.999981666590884e-07,29.68,0.0,29.68,399.68,3726.414838361399,-259.70000000000005,3466.7148383613985
8,20:00-20:15,unordered,1.0,116.64608871962827,78.42661022377517,69.19995019747228,116.64608871971106,380.9187378605868,17.76126213941322,-8.999981737645157e-07,30.68,0.0,30.68,398.68,3701.1815513411675,-268.45000000000005,3432.7315513411677
9,20:15-20:30,unordered,1.0,115.32483179473138,77.28152088885217,68.18957725489447,115.32483179480315,376.12076173328114,21.599238266718856,-8.999981666590884e-07,31.72,0.0,31.72,397.72,3673.922303422582,-277.55,3396.372303422582
10,20:30-20:45,unordered,1.0,114.9968479767416,76.99726824660213,67.93876609996575,114.99684797681495,374.9297303001244,25.790269699875623,-8.999982803459261e-07,32.72,0.0,32.72,400.72,3667.1619548645795,-286.3,3380.8619548645793
11,20:45-21:00,unordered,1.0,113.38922215006906,75.60399253015352,66.70940517368577,113.38922215013714,369.0918420040455,29.038746231248794,-8.999981915280841e-07,28.130588235294297,0.0,28.130588235294297,398.1305882352943,3634.0625600968597,-246.14264705882513,3387.9199130380343
12,21:00-21:15,unordered,1.0,108.74411001828507,71.57822868256504,63.15726060229184,108.74411001832382,352.2237093214658,33.53746714912242,-8.999981417900926e-07,10.761176470588234,0.0,10.761176470588234,385.7611764705882,3538.7671691126643,-94.16029411764706,3444.6068749950173
13,21:15-21:30,unordered,1.0,107.57106189236211,70.56158697343348,62.260223800116506,107.57106189239958,347.9639345583117,37.47488897110007,-8.999981702118021e-07,10.438823529411764,0.0,10.438823529411764,385.43882352941176,3514.782403759096,-91.33970588235293,3423.442697876743
14,21:30-21:45,unordered,1.0,109.17729628192804,71.95365677774888,63.48852068627146,109.17729628197847,353.79677002792687,40.39028879560263,-8.999982199497936e-07,10.18705882352941,0.0,10.18705882352941,394.18705882352947,3547.632537448131,-89.13676470588234,3458.495772742249
15,21:45-22:00,unordered,1.0,108.29959253722387,71.19298019899841,62.8173354697283,108.29959253726989,350.60950074322045,43.33167572736781,-8.999981702118021e-07,9.941176470588234,0.0,9.941176470588234,393.9411764705883,3529.674506472172,-86.98529411764704,3442.6892123545254
16,22:00-22:15,unordered,1.0,106.2092397390443,69.38134110723593,61.21883038876292,106.2092397390839,343.018650974127,46.61781961410827,-8.999982838986398e-07,9.636470588235294,0.0,9.636470588235294,389.6364705882353,3486.978605195115,-84.31911764705883,3402.6594875480564
17,22:15-22:30,unordered,1.0,103.72622543277133,67.22939537512153,59.32005474278247,103.7262254328027,334.00190098347804,50.240451957698426,-8.999981702118021e-07,9.24235294117647,0.0,9.24235294117647,384.2423529411765,3436.396528904409,-80.87058823529412,3355.525940669115
18,22:30-22:45,unordered,1.0,102.7941438325732,66.42159132165901,58.60728646030657,102.79414383262119,330.61716544716,53.14165808225181,-8.999982057389389e-07,8.758823529411764,0.0,8.758823529411764,383.75882352941176,3417.4464398425157,-76.63970588235294,3340.8067339601625
19,22:45-23:00,unordered,1.0,94.54565119620077,59.27289770340627,52.29961562069041,94.5456511962129,300.6638157165104,57.500890165842605,-8.9999814889552e-07,8.16470588235294,0.0,8.16470588235294,358.16470588235296,3250.6405983818477,-71.44117647058823,3179.1994219112594
20,23:00-23:15,unordered,1.0,90.84278162759766,56.063744077323406,49.46800948002519,90.84278162762365,287.21731681256995,65.29797730507718,-8.999981417900926e-07,7.515294117647057,0.0,7.515294117647057,352.5152941176471,3176.28129261668,-65.75882352941176,3110.5224690872683
21,23:15-23:30,unordered,1.0,84.44933378110007,50.522755943692,44.57890230330458,84.44933378112027,264.0003258092169,77.82438007313603,-8.999981986335115e-07,6.824705882352941,0.0,6.824705882352941,341.82470588235293,3048.652864181842,-59.71617647058824,2988.9366877112534
22,23:30-23:45,unordered,1.0,76.95253378197918,44.025529277816325,38.846055245205015,76.95253378200374,236.77665208700427,94.40217144240751,-8.999981417900926e-07,6.178823529411764,0.0,6.178823529411764,331.1788235294118,2900.2278686283744,-54.06470588235294,2846.1631627460215
23,23:45-24:00,unordered,1.0,66.81291181493803,35.23785690639912,31.092226682352308,66.81291181493943,199.9559072186289,115.62173984019462,-8.999981275792379e-07,5.577647058823528,0.0,5.577647058823528,315.5776470588235,2701.5896082114896,-48.804411764705875,2652.7851964467836
24,0:00-0:15,unordered,1.0,58.682108890940434,28.191161039080978,24.999999998894,58.68210889094738,170.5553788198628,134.47050353307836,-8.999981275792379e-07,5.025882352941176,0.0,5.025882352941176,305.02588235294115,2544.7239917391134,-43.976470588235294,2500.747521150878
25,0:15-0:30,unordered,1.0,52.38392548379806,22.732735420201507,24.999999982369577,52.383925483820086,152.5005863701892,147.04411951216377,-8.999980991575285e-07,4.5447058823529405,0.0,4.5447058823529405,299.544705882353,2449.2418607967224,-39.766176470588235,2409.4756843261343
26,0:30-0:45,unordered,1.0,44.99971651802749,19.999999978011253,24.999999982222942,44.99971651806494,134.99943299632662,154.06880229779102,-8.999980991575285e-07,4.068235294117647,0.0,4.068235294117647,289.06823529411764,2357.4282902391424,-35.597058823529416,2321.831231415613
27,0:45-1:00,unordered,1.0,40.67496273783661,19.999999977813008,24.999999982172238,40.67496273790471,126.34992543572656,157.18183927015582,-8.999980707358191e-07,3.531764705882353,0.0,3.531764705882353,283.5317647058824,2312.3994494298504,-30.90294117647059,2281.49650825338
28,1:00-1:15,unordered,1.0,36.94818141819068,19.99999997772269,24.999999982120702,36.94818141824742,118.8963627962815,159.18951955665966,-8.999980707358191e-07,3.0858823529411765,0.0,3.0858823529411765,278.08588235294116,2273.7916703804485,-27.001470588235296,2246.790199792213
29,1:15-1:30,unordered,1.0,34.25678842340482,19.999999977651743,24.999999982064494,34.256788423699426,113.51357680682048,159.1770114284736,-8.999980423141096e-07,2.690588235294117,0.0,2.690588235294117,272.6905882352941,2246.02232879672,-23.542647058823526,2222.4796817378965
30,1:30-1:45,unordered,1.0,32.66483574141113,19.99999997759359,24.999999982012717,32.664835741572816,110.32967144259025,156.9856226750568,-8.999980423141096e-07,2.315294117647059,0.0,2.315294117647059,267.31529411764706,2229.6411507304347,-20.258823529411767,2209.3823272010227
31,1:45-2:00,unordered,1.0,31.572841692316832,20.0,25.0,31.572841705086116,108.14568339740295,153.8096107202441,-8.437320389020897e-07,1.955294117647059,0.0,1.955294117647059,261.95529411764704,2218.423593104756,-17.10882352941177,2201.314769575344
32,2:00-2:15,unordered,1.0,30.247352305237605,20.0,25.0,30.24735239044391,105.4947046956815,151.10529530431853,-8.110193618904304e-07,1.6,0.0,1.6,256.6,2204.8282724943247,-14.000000000000002,2190.8282724943247
33,2:15-2:30,unordered,1.0,20.0,20.0,25.0,25.0,90.0,161.26,16.627105892705572,1.26,0.0,1.26,251.26,2125.8625,-11.025000000000002,2114.8375
34,2:30-2:45,unordered,1.0,20.0,20.0,25.0,25.0,90.0,155.92470588235295,15.950104260093923,0.9247058823529412,0.0,0.9247058823529412,245.92470588235295,2125.8625,-8.091176470588236,2117.771323529412
35,2:45-3:00,unordered,1.0,20.0,20.0,25.0,25.0,90.0,155.61411764705883,8.768557430052567,0.6141176470588237,0.0,0.6141176470588237,245.61411764705883,2125.8625,-5.373529411764707,2120.4889705882356
36,3:00-3:15,unordered,1.0,20.0,20.0,25.0,25.0,90.0,150.3435294117647,17.747277296293703,0.3435294117647059,0.0,0.3435294117647059,240.3435294117647,2125.8625,-3.0058823529411773,2122.856617647059
37,3:15-3:30,unordered,1.0,20.0,20.0,25.0,25.0,90.0,148.12235294117647,23.98171172360017,0.1223529411764705,0.0,0.1223529411764705,238.12235294117647,2125.8625,-1.070588235294117,2124.791911764706
38,3:30-3:45,unordered,1.0,20.0,20.0,25.0,25.0,90.0,145.0,24.373244600176434,0.0,0.0,0.0,235.0,2125.8625,0.0,2125.8625
39,3:45-4:00,unordered,1.0,20.0,20.0,25.0,25.0,90.0,142.0,40.30919796313009,0.0,0.0,0.0,232.0,2125.8625,0.0,2125.8625
40,4:00-4:15,unordered,1.0,20.0,20.0,25.0,25.0,90.0,140.0,37.62155241896372,0.0,0.0,0.0,230.0,2125.8625,0.0,2125.8625
41,4:15-4:30,unordered,1.0,20.0,20.0,25.0,25.0,90.0,140.0,41.85611526899075,0.0,0.0,0.0,230.0,2125.8625,0.0,2125.8625
