t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
0,18:00-18:15,v2g,1.0,110.94160208391547,73.48272181009693,64.83769571617239,110.9416020868797,360.2036216970645,7.8622917436512445,-8.9989930440737e-07,0.0,16.93408655928425,-16.93408655928425,-4.980613693907133,368.06591344071575,3583.7856737249394,190.5084737919478,3774.2941475168873
1,18:15-18:30,v2g,1.0,110.94160206970152,73.48272179777805,64.8376957053028,110.94160207266556,360.2036216454479,17.02409316877561,-8.998993408226852e-07,0.0,7.772285185776451,-7.772285185776451,-7.2665799250178535,377.22771481422353,3583.7856734333773,87.43820833998507,3671.2238817733623
2,18:30-18:45,v2g,1.0,110.94160206144866,73.48272179062566,64.83769569899188,110.94160206441282,360.20362161547905,14.58929755023375,-8.998993550335399e-07,0.0,5.207080834287284,-5.207080834287284,-8.798074288043525,374.7929191657127,3583.7856732640944,58.579659385731944,3642.3653326498265
3,18:45-19:00,v2g,1.0,110.9416020356162,73.48272176829512,64.8376956792746,110.94160203860288,360.20362152178876,12.494101060882597,-8.998993248354736e-07,0.0,2.3022774173286122,-2.3022774173286122,-9.47521470490488,372.69772258267136,3583.7856727348735,25.900620944946887,3609.68629367982
4,19:00-19:15,v2g,1.0,110.69603600003545,73.26989787078647,64.64990988735012,110.6960360029851,359.3118797611571,10.688119892609027,-8.998992715447685e-07,0.0,3.462338429980676e-07,-3.462338429980676e-07,-9.475214806738364,369.99999965376617,3578.7492737122584,3.89513073372826e-06,3578.749277607389
5,19:15-19:30,v2g,1.0,110.06623164884152,72.72406743285141,64.16829479509593,110.0662316516145,357.02482552840337,10.975174381663262,-8.998992822029095e-07,0.0,8.993338344652028e-08,-8.993338344652028e-08,-9.475214833189359,367.9999999100666,3565.8389043246752,1.011750563773353e-06,3565.838905336426
6,19:30-19:45,v2g,1.0,109.65599093158222,72.36852547778447,63.85458130534921,109.65599093426007,355.53508864897594,12.464911292979572,-8.998991702924286e-07,0.0,5.804445719969228e-08,-5.804445719969228e-08,-9.475214850261258,367.99999994195554,3557.4344088820917,6.530001434965382e-07,3557.434409535092
7,19:45-20:00,v2g,1.0,109.69415279054505,72.40159908935807,63.883763903683814,109.69415279341267,355.6736685769996,14.326331362874344,-8.998991898323538e-07,0.0,6.012606735729456e-08,-6.012606735729456e-08,-9.475214867945395,369.99999993987393,3558.2160534406003,6.764182577695638e-07,3558.2160541170183
8,20:00-20:15,v2g,1.0,108.19749259840425,71.10449358898927,62.73925905051908,108.19749260089465,350.23873783880725,17.761262139314013,-8.998989677877489e-07,0.0,2.1878720209245775e-08,-2.1878720209245775e-08,-9.475214874380313,367.99999997812125,3527.5866977244063,2.4613560235401497e-07,3527.586697970542
9,20:15-20:30,v2g,1.0,106.58984258846995,69.7111969132961,61.50987963088044,106.58984259063212,344.4007617232786,21.59923826661948,-8.99898790152065e-07,0.0,1.0101913877465096e-08,-1.0101913877465096e-08,-9.475214877351464,365.9999999898981,3494.744819583629,1.1364653112148233e-07,3494.7448196972755
