time_slot,p_ch_mw
0,9.014493125959983e-08
1,0.26109312322024664
2,6.680649155426018
3,17.0
4,12.400653834630015
5,14.282209807585863
6,9.199680774432798e-08
7,7.364605395961133
8,8.317147637686643
9,17.0
10,17.0
11,15.707825814712821
12,16.738108152889293
13,17.0
14,17.0
15,17.0
16,16.719435973834337
17,17.0
18,17.0
19,17.0
20,17.0
21,17.0
22,17.0
23,16.604250934262314
24,0.04440170957464651
25,8.195303977813406e-08
26,1.8396195533846245
27,9.339231484239528e-08
28,6.080454355113572e-08
29,6.283801701595075e-08
30,5.7757135784047715e-08
31,6.237562411073771e-08
32,4.738927710711777e-08
33,4.69866143686209e-08
34,5.6828296255217306e-08
35,5.032446700141246e-08
36,3.720844817345325e-08
37,4.221719991298667e-08
38,4.330523228831666e-08
39,3.163594483660148e-08
40,0.0
41,2.8131427942220325e-10
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,7.388378718774275e-08
93,6.401246911683567e-08
94,6.964422466863194e-08
95,7.887829691629262e-08
