time_slot,p_ch_mw
0,10.029951534714863
1,10.030001711215606
2,10.029951534715146
3,10.029951534714955
4,10.030039053834034
5,10.030039053834063
6,10.030039053834114
7,10.030039053833942
8,10.029951534715051
9,10.030001711215537
10,10.029951534714952
11,10.029951534715124
12,10.030039053833852
13,10.030039053834157
14,10.030039053833942
15,10.030039053833976
16,10.029951534715321
17,10.03000171121586
18,10.029951534715115
19,10.029951534715082
20,10.030039053833955
21,10.030039053833807
22,10.0300390538339
23,10.030039053834336
24,10.029951534715117
25,10.029951534715087
26,10.029951534714968
27,10.029951534715197
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,2.3183978592671715e-09
41,2.318570373357714e-09
42,2.3182964973964365e-09
43,2.3180762882111112e-09
44,2.317389217673962e-09
45,2.317115592162116e-09
46,2.3175063230888015e-09
47,2.3176230569568738e-09
48,2.318309058764601e-09
49,2.31842197989555e-09
50,2.319143058370368e-09
51,2.3188137613442603e-09
52,2.317762117546386e-09
53,2.31761768824839e-09
54,2.317545328142024e-09
55,2.317414479147512e-09
56,2.318299338216828e-09
57,2.3186472347312046e-09
58,2.3182247532359125e-09
59,2.318089385928585e-09
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,2.3181667821834766e-09
73,2.3184876595479287e-09
74,2.318810451659369e-09
75,2.318486224631341e-09
76,2.3171828904650226e-09
77,2.316907250128187e-09
78,2.316445340407941e-09
79,2.31744146611082e-09
80,2.3182155640130605e-09
81,2.318465535771348e-09
82,2.318358907917532e-09
83,2.3184655355657306e-09
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,10.030039053834562
93,10.030039053834274
94,10.030039053832873
95,10.030039053834557
