t_day,time_label,price_cny_per_kwh
0,00:00-00:15,0.3766
1,00:15-00:30,0.3766
2,00:30-00:45,0.3766
3,00:45-01:00,0.3766
4,01:00-01:15,0.3766
5,01:15-01:30,0.3766
6,01:30-01:45,0.3766
7,01:45-02:00,0.3766
8,02:00-02:15,0.3766
9,02:15-02:30,0.3766
10,02:30-02:45,0.3766
11,02:45-03:00,0.3766
12,03:00-03:15,0.3766
13,03:15-03:30,0.3766
14,03:30-03:45,0.3766
15,03:45-04:00,0.3766
16,04:00-04:15,0.3766
17,04:15-04:30,0.3766
18,04:30-04:45,0.3766
19,04:45-05:00,0.3766
20,05:00-05:15,0.3766
21,05:15-05:30,0.3766
22,05:30-05:45,0.3766
23,05:45-06:00,0.3766
24,06:00-06:15,0.3766
25,06:15-06:30,0.3766
26,06:30-06:45,0.3766
27,06:45-07:00,0.3766
28,07:00-07:15,0.677
29,07:15-07:30,0.677
30,07:30-07:45,0.677
31,07:45-08:00,0.677
32,08:00-08:15,0.677
33,08:15-08:30,0.677
34,08:30-08:45,0.677
35,08:45-09:00,0.677
36,09:00-09:15,0.677
37,09:15-09:30,0.677
38,09:30-09:45,0.677
39,09:45-10:00,0.677
40,10:00-10:15,0.9864
41,10:15-10:30,0.9864
42,10:30-10:45,0.9864
43,10:45-11:00,0.9864
44,11:00-11:15,0.9864
45,11:15-11:30,0.9864
46,11:30-11:45,0.9864
47,11:45-12:00,0.9864
48,12:00-12:15,0.9864
49,12:15-12:30,0.9864
50,12:30-12:45,0.9864
51,12:45-13:00,0.9864
52,13:00-13:15,0.9864
53,13:15-13:30,0.9864
54,13:30-13:45,0.9864
55,13:45-14:00,0.9864
56,14:00-14:15,0.9864
57,14:15-14:30,0.9864
58,14:30-14:45,0.9864
59,14:45-15:00,0.9864
60,15:00-15:15,0.677
61,15:15-15:30,0.677
62,15:30-15:45,0.677
63,15:45-16:00,0.677
64,16:00-16:15,0.677
65,16:15-16:30,0.677
66,16:30-16:45,0.677
67,16:45-17:00,0.677
68,17:00-17:15,0.677
69,17:15-17:30,0.677
70,17:30-17:45,0.677
71,17:45-18:00,0.677
72,18:00-18:15,0.9864
73,18:15-18:30,0.9864
74,18:30-18:45,0.9864
75,18:45-19:00,0.9864
76,19:00-19:15,0.9864
77,19:15-19:30,0.9864
78,19:30-19:45,0.9864
79,19:45-20:00,0.9864
80,20:00-20:15,0.9864
81,20:15-20:30,0.9864
82,20:30-20:45,0.9864
83,20:45-21:00,0.9864
84,21:00-21:15,0.677
85,21:15-21:30,0.677
86,21:30-21:45,0.677
87,21:45-22:00,0.677
88,22:00-22:15,0.677
89,22:15-22:30,0.677
90,22:30-22:45,0.677
91,22:45-23:00,0.677
92,23:00-23:15,0.3766
93,23:15-23:30,0.3766
94,23:30-23:45,0.3766
95,23:45-00:00,0.3766
